lake,year,year_group,SL,count,mean_length_mm,mean_width_mm,sex
Rond,2025,2025,56.35,21,1.4307344877585375,0.15574740420992983,F
Rond,2025,2025,56.99,21,1.9840702728108564,0.15738821383697263,F
Rond,2025,2025,51.55,22,1.8265264807187827,0.12326909713394689,M
Rond,2025,2025,54.7,22,1.5649894822874941,0.1517460156042553,F
Rond,2025,2025,58.47,21,1.6444367015762134,0.1337558273810034,F
Rond,2025,2025,NA,25,1.4280523627438169,0.10647735171180794,M
Rond,2025,2025,43.68,21,1.000551445288816,0.1208120845561842,M
Rond,2025,2025,61.49,23,2.095931688790097,0.18601204931724982,F
Rond,2025,2025,59.36,22,1.4952848427360295,0.19079672919892804,F
Rond,2025,2025,57.43,21,1.5287347952995296,0.17581118961408462,F
Rond,2025,2025,56.66,23,1.6241080659649838,0.11799423361939253,F
Rond,2025,2025,60.49,25,1.5035535760031005,0.1751418240134696,F
Rond,2025,2025,57.68,21,1.4325530303030303,0.13760416666666667,F
Rond,2025,2025,61.73,21,1.8765529397806817,0.20477995664856907,M
Rond,2025,2025,55.47,18,1.700931974960293,0.16496022701060958,F
Rond,2025,2025,57.64,22,2.1495956646262706,0.19199846502311826,M
Rond,2025,2025,55.84,22,1.630036609224464,0.13812359259027782,F
Rond,2025,2025,54.75,21,1.4270553141103617,0.14011181990028726,F
Rond,2025,2025,55.73,22,1.7678676739026653,0.13019648590712088,F
Squatec,2025,2025,69.18,21,1.7924150247016346,0.17730056665716964,F
Squatec,2025,2025,70.48,21,1.840185393258427,0.17585486891385768,M
Squatec,2025,2025,55.65,21,1.805125713500148,0.11089736708794014,M
Squatec,2025,2025,67.11,20,1.7097988734461036,0.16092423010356596,M
Squatec,2025,2025,65.42,21,1.4009470285332355,0.18281039660350004,M
Squatec,2025,2025,55.25,20,1.2628209654928255,0.1677216828661791,F
Squatec,2025,2025,55.81,21,1.4977598210128222,0.11880993212267132,F
Squatec,2025,2025,57.2,21,1.6913210922787192,0.14163370998116762,M
Squatec,2025,2025,59.25,22,1.8139105461393596,0.11331638418079096,F
Squatec,2025,2025,55.83,20,1.6081148775894538,0.1733870056497175,M
Squatec,2025,2025,55.94,20,1.4699705174455326,0.14836022856806122,F
Squatec,2025,2025,53.73,21,1.3463191491162967,0.14704402196253727,F
Squatec,2025,2025,57.05,22,1.3576679234743751,0.10258250709863613,F
Squatec,2025,2025,54.89,20,1.3786253045184398,0.1199624153560117,M
Squatec,2025,2025,51.85,22,1.4887013442296972,0.10442731830294114,F
Squatec,2025,2025,58.26,20,1.609920265092679,0.12294143673454018,M
Squatec,2025,2025,46.62,20,1.9272643344962355,0.12490238928557386,M
Croche,2025,2025,54.72,22,1.207369523809524,0.16619904761904764,M
Croche,2025,2025,55.7,23,1.4500170879336594,0.1690547407011984,F
Croche,2025,2025,59.19,21,1.8529321174026567,0.17006926910283454,M
Croche,2025,2025,49.26,21,0.9649218773862314,0.12227593605061747,F
Croche,2025,2025,57.68,21,1.018770868290368,0.2051245835757963,F
Croche,2025,2025,48.44,21,1.1063585807366751,0.10241376273709388,F
Croche,2025,2025,53.35,22,1.1859509274202982,0.12165228171122495,F
Croche,2025,2025,50.03,21,1.1544187666717782,0.11315132342445187,F
